PlayerName,Base.X,Base.y,Base.z,Town.x,Town.y,Town.z
YouX,-3508.653262868868,63.0,39427.045761832684,306.0,93.0,-318.0
YuanTian,22208.156543184487,69.0,-23730.891475777433,301.0,94.0,-349.0
ZLY,-19390.0,65.0,-2521.0,417.0,74.0,-467.0
ZPY,-6968.0,69.0,-13111.0,328.0,91.0,-460.0
Zain_RZ,-2488,71,2757,247,87,-177
ZeCross,-27621.285901032465,98.0,-12194.72864007391,486.0,88.0,-314.0
Zen,17157,63,10598,100,90,-133
Zypper,-10114.0,65.0,-12754.0,386.0,74.0,-459.0
Zz,12814.300000011921,72.0,4587.241995835531,375.0,91.0,-226.0
_Aries,-11520.0,102.0,3475.0,279.0,88.0,-161.0
_Dazzle,-4242.0,64.0,8798.0,390.0,84.0,-454.0
_Rour,22072.435853565756,63.0,-18707.172694995308,301.0,95.0,-373.0
abgi,1250.0,68.0,17012.0,454.0,88.0,-349.0
addqwe,-15601.0,82.0,-10977.0,145.0,87.0,-229.0
adnachiel,39359.545802379645,64.0,23631.426960516153,151.0,87.0,-249.0
anhua,6704.0,27.0,24783.0,373.0,81.0,-454.0
aqingzizi,23971.538867850795,69.0,15585.149099355325,48.0,90.0,-209.0
arisue,-750,63,824,230,87,-144
asd,-14427.0,69.0,17227.0,386.0,74.0,-454.0
avvina,-13053.0,66.0,14095.0,344.0,91.0,-460.0
badgood_uncle,-23743.87488395987,58.0,-25998.092559598485,303.0,90.0,-272.0
baka_Ari,36977.0,71.0,21635.0,8.0,90.0,-210.0
ban,30697.3851702113,64.0,-24467.10762626564,213.0,87.0,-218.0
baozi,-841,69,18096,280,88,-219
belive,20437.0,63.0,-19211.0,235.0,97.0,-276.0
ben8932sowrdbook,-21492.0,68.0,-10926.0,250.0,89.0,-246.0
bigbigbigbig,35054.07259854573,64.0,-10006.740638767504,470.0,88.0,-421.0
bingo,4714,72,15556,77,88,-165
bingren11111,36296.3357451755,11.0,-2041.417457129816,340.0,93.0,-395.0
bsiman,7152.881324113811,70.0,-28554.8754207781,68.0,88.0,-222.0
bug,15788.280111336202,64.16610926093821,16086.085101721595,518.0,88.0,-365.0
bzdbz,-14653.0,83.0,11599.0,353.0,81.0,-463.0
cat73,-27369.48263792653,71.0,-5530.336491825168,382.0,95.0,-393.0
ccc,-31099.744534097295,66.0,-13128.39592766582,304.0,90.0,-300.0
chairy,38249.0,69.0,-12555.0,178.0,91.0,-255.0
chance012,21584.434107120444,70.0,-20818.094242734147,388.0,92.0,-446.0
chapao,25978.403087125942,67.00133597911214,-25320.905516256254,317.0,97.0,-385.0
chenwei,-18574.0,67.0,-18944.0,167.0,88.0,-200.0
cheroll,-27844.0,64.0,5534.0,65.0,88.0,-359.0
chuchu,-35304.0169664331,67.0,-33124.318298290425,429.0,95.0,-399.0
claries,16058.0,113.0,15208.0,408.0,79.0,-461.0
clean_sea,-34187.10614881174,90.0,-7245.196873470329,438.0,90.0,-415.0
cmc,26282.0,73.0,-6975.0,430.0,85.0,-452.0
coffeesugar,-23792.0,56.0,20459.0,454.0,87.0,-269.0
colabujiabing,22477.78312349357,58.0,-21723.71368868587,260.0,94.0,-314.0
cowsay,10566.0,256.0,-36354.0,324.0,96.0,-306.0
craneyun,25136.658974262344,69.0,-26651.849946905004,59.0,91.0,-182.0
crv,24598.58487258987,81.0,-19629.494410794287,330.0,90.0,-327.0
cs316,-21509.008053579186,63.0,-3328.3956302298307,359.0,90.0,-216.0
ct29,-9670,69,18976,78,88,-179
ct329,-9670.0,69.0,18976.0,78.0,88.0,-179.0
cube,-4820,42,-5042,91,88,-179
cui_peng,-38635.61557375921,65.0,-21668.477469110534,300.0,97.0,-306.0
cup_fph,28120.0,73.0,19510.0,326.0,106.0,-459.0
cup_pfh,28120.72642531782,73.0,19510.965329231163,354.0,88.0,-254.0
cylly,39503.40945395538,62.0,11552.45282332818,410.0,88.0,-427.0
dada,12703,65,4999,129,88,-60
dak,7722.730166132289,73.0,-35934.24588912997,308.0,91.0,-358.0
dear_HL,18637.210424469944,121.0,13180.616776275376,341.0,88.0,-242.0
deepin,16084.0,72.0,6653.0,440.0,79.0,-469.0
dgder,-38803.04718011477,64.0,-25752.90586176217,121.0,88.0,-359.0
doushabaoyoudu,35091.30000001192,9.0,-23085.309043127545,378.0,88.0,-406.0
efeg64u,24251.920509107786,64.0,-26406.05694966655,9.0,94.0,-193.0
elses,7334.0,115.0,27973.0,436.0,88.0,-276.0
erqiang,25868.533501336904,66.0,22850.055389470923,276.0,87.0,-175.0
et1992,17514.0,86.0,-15664.0,375.0,76.0,-465.0
f1sh,21546.060336948845,9.0,-24926.521335737656,291.0,97.0,-316.0
fat,-6758.0,63.0,5081.0,342.0,106.0,-461.0
father,29108.591020795546,5.0,22114.22261914859,303.0,97.0,-400.0
fei,-6891,58,14759,100,90,-133
feixiang,-18882,64,16311,233,87,-177
fengfeng,-31374.0,106.0,-27537.0,165.0,87.0,-74.0
fengshan,-17605,87,11946,128,88,-111
firewrz,-7924.0,62.0,19611.0,369.0,76.0,-467.0
flyingwolfz,-65989.27818132585,69.0,-44973.45932149363,301.0,96.0,-345.0
forget_a1314,9167.191232149566,71.0,28687.680372340546,409.0,88.0,-413.0
freeterfly,-16909.0,66.0,1245.0,418.0,74.0,-463.0
future,19601.0,64.0,-3163.0,408.0,74.0,-469.0
fuxiaobai,34004.71573949713,93.0,-7965.428552446261,320.0,93.0,-360.0
gekkon,-22303.499091449998,76.0,-23213.066283513177,384.0,88.0,-286.0
godfly,-10024.0,59.0,-9128.0,398.0,74.0,-454.0
gq,-13599,61,-14431,232,87,-194
guess,20489.0,64.0,-28733.0,373.0,76.0,-454.0
guizi,39730.44611142706,85.0,-8029.753031941459,277.0,92.0,-323.0
hahaha,38009.0,50.0,-18344.0,342.0,106.0,-465.0
